Selected (4),Selected,player,player_id,Selected (1),Selected (2),Selected (3),PC1,PC2,Selected (5),lg,team,pos,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min,impact_z
No,No,LaMarcus Aldridge,aldrila01,No,No,No,-1.36632,-1.02627,No,NBA,SAS,PF,7.7,16.2,0.477,0.4,0.9,0.411,7.4,15.3,0.48,0.488,3.4,4.2,0.812,2.7,5.4,8.1,2.1,0.7,1.4,1.5,2.4,19.2,1.00759
No,No,Giannis Antetokounmpo,antetgi01,No,No,No,0.246513,0.177057,No,NBA,MIL,SF,8.3,15.9,0.521,0.6,2.3,0.272,7.7,13.7,0.563,0.541,6,7.7,0.77,1.8,7.1,8.9,5.5,1.7,1.9,3,3.1,23.2,1.99736
No,No,Carmelo Anthony,anthoca01,No,No,No,1.26434,-0.965206,No,NBA,NYK,SF,8.5,19.7,0.433,2.1,6,0.359,6.4,13.7,0.466,0.488,4.3,5.2,0.833,0.9,5.3,6.2,3,0.9,0.5,2.2,2.8,23.5,1.20555
No,No,Bradley Beal,bealbr01,No,No,No,1.72064,-1.48113,No,NBA,WAS,SG,8.5,17.7,0.482,3,7.4,0.404,5.6,10.3,0.538,0.566,3.8,4.6,0.825,0.7,2.5,3.2,3.6,1.1,0.3,2.1,2.3,23.9,1.02079
No,No,Eric Bledsoe,bledser01,No,No,No,2.38494,-0.754287,No,NBA,PHO,PG,7.4,17.1,0.434,1.7,5.1,0.335,5.7,12,0.477,0.485,6.4,7.6,0.847,0.9,4.4,5.3,6.9,1.5,0.5,3.7,2.7,23,1.42989
No,No,Joel Bolomboy,bolomjo01,No,No,No,-3.45776,-0.440248,No,NBA,UTA,PF,6.1,10.9,0.563,0.7,2.7,0.25,5.4,8.2,0.667,0.594,2,4.1,0.5,2.7,8.8,11.5,1.4,0.7,1.4,1.4,0.7,14.9,1.03399
No,No,Anthony Brown,brownan02,No,No,No,-0.709022,-0.293362,No,NBA,ORL,SF,9,20.3,0.444,2.3,6.8,0.333,6.8,13.5,0.5,0.5,0,0,,4.5,11.3,15.8,4.5,0,0,2.3,4.5,20.3,1.8258
No,No,Jimmy Butler,butleji01,No,No,No,1.76926,-0.925267,No,NBA,CHI,SF,7.3,16,0.455,1.2,3.2,0.367,6.1,12.9,0.477,0.492,7.5,8.7,0.865,1.7,4.4,6,5.3,1.8,0.4,2,1.4,23.3,1.77301
No,No,Clint Capela,capelca01,No,No,No,-3.09716,3.15275,No,NBA,HOU,C,8.4,13.1,0.643,0,0,,8.4,13.1,0.643,0.643,2.2,4.1,0.531,4.1,8.1,12.2,1.5,0.8,1.8,2,4.2,19,1.20555
No,No,Mike Conley,conlemi01,No,No,No,2.53831,-1.55822,No,NBA,MEM,PG,7.3,15.8,0.46,2.7,6.6,0.408,4.6,9.3,0.497,0.545,5,5.8,0.859,0.5,3.3,3.8,6.8,1.4,0.3,2.5,2,22.2,1.32432
No,No,DeMarcus Cousins,couside01,No,No,No,1.83364,1.56397,No,NBA,2TM,C,9.4,20.9,0.452,1.9,5.3,0.361,7.5,15.6,0.483,0.498,7.6,9.8,0.772,2.2,9.4,11.6,4.8,1.5,1.4,3.9,4.1,28.4,2.60441
No,No,DeMarcus Cousins,couside01,No,No,No,2.28659,2.02232,No,NBA,SAC,C,9.6,21.3,0.452,1.8,5.1,0.356,7.8,16.2,0.482,0.494,8.1,10.5,0.77,2.2,8.9,11.1,5.1,1.4,1.4,3.9,3.9,29.1,2.68359
No,No,DeMarcus Cousins,couside01,No,No,No,1.09996,1.01208,No,NBA,NOP,C,8.9,19.7,0.452,2.3,6,0.375,6.6,13.7,0.486,0.51,5.9,7.6,0.777,2.3,10.9,13.2,4.1,1.6,1.2,3.9,4.7,26,2.31408
No,No,Stephen Curry,curryst01,No,No,No,4.27653,-0.679468,No,NBA,GSW,PG,9.2,19.7,0.468,4.4,10.8,0.411,4.8,8.9,0.537,0.58,4.4,4.9,0.898,0.8,4,4.8,7.2,1.9,0.2,3.3,2.5,27.3,2.06334
No,No,Anthony Davis,davisan02,No,No,No,0.397051,2.07735,No,NBA,NOP,C,10.2,20.3,0.505,0.5,1.8,0.299,9.7,18.5,0.524,0.518,6.9,8.6,0.802,2.3,9.5,11.8,2.1,1.2,2.2,2.4,2.2,27.9,2.72318
