Selected (4),Selected,player,player_id,Selected (1),Selected (2),Selected (3),mds-x,mds-y,Selected (5),Selected (6),lg,team,pos,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min,impact_z
No,No,Kyle Lowry,lowryky01,No,No,No,-11.0335,-8.79138,No,No,NBA,TOR,PG,6.8,14.7,0.464,3.1,7.5,0.412,3.7,7.2,0.518,0.569,4.8,5.9,0.819,0.8,3.8,4.6,6.7,1.4,0.3,2.8,2.7,21.6,1.20555
No,No,Boban Marjanović,marjabo01,No,No,No,9.34379,-11.8864,No,No,NBA,DET,C,8.8,16.2,0.545,0,0,,8.8,16.2,0.545,0.545,5.8,7.1,0.81,5.7,10.3,16,1.1,0.7,1.5,1.2,3.1,23.5,2.44605
No,No,CJ McCollum,mccolcj01,No,No,No,-6.18708,-4.42256,No,No,NBA,POR,SG,8.9,18.6,0.48,2.4,5.7,0.421,6.5,12.9,0.506,0.544,3.5,3.8,0.912,0.8,2.9,3.7,3.7,0.9,0.5,2.2,2.6,23.7,1.02079
No,No,JaVale McGee,mcgeeja01,No,No,No,24.3199,-14.6896,No,No,NBA,GSW,C,10.1,15.5,0.652,0,0.1,0,10.1,15.4,0.658,0.652,2.7,5.4,0.505,4.9,7,11.9,0.8,0.9,3.3,1.9,5.3,23,1.68063
No,No,Paul Millsap,millspa01,No,No,No,-1.05037,4.75005,No,No,NBA,ATL,PF,6.6,14.9,0.442,1.2,3.7,0.311,5.5,11.2,0.486,0.481,4.8,6.2,0.768,1.7,6.5,8.2,3.9,1.4,1,2.4,2.9,19.1,1.09997
No,No,Greg Monroe,monrogr01,No,No,No,10.3652,0.678541,No,No,NBA,MIL,C,7.6,14.3,0.533,0,0.1,0,7.6,14.3,0.536,0.533,3.5,4.7,0.741,3.3,7.2,10.5,3.7,1.8,0.8,2.8,3.3,18.8,1.25833
No,No,Dirk Nowitzki,nowitdi01,No,No,No,-1.4573,9.19345,No,No,NBA,DAL,PF,7.5,17.1,0.437,2,5.3,0.378,5.5,11.9,0.463,0.495,2.5,2.8,0.875,0.6,8.3,8.9,2.1,0.8,1,1.3,2.9,19.4,1.06038
No,No,Jusuf Nurkić,nurkiju01,No,No,No,14.7262,3.97479,No,No,NBA,2TM,C,7,13.8,0.507,0,0,0,7,13.8,0.508,0.507,3.1,5.4,0.571,4,8.1,12.1,3.2,1.3,1.9,3.7,4.2,17.1,1.02079
No,No,Jusuf Nurkić,nurkiju01,No,No,No,12.9352,4.6783,No,No,NBA,POR,C,7.4,14.5,0.508,0,0.1,0,7.4,14.5,0.511,0.508,3.9,6,0.66,4,8.8,12.8,3.9,1.5,2.3,3.8,4.5,18.7,1.44309
No,No,Kyle O'Quinn,oquinky01,No,No,No,15.5815,9.10205,No,No,NBA,NYK,C,6.3,12.1,0.521,0.1,0.5,0.118,6.2,11.6,0.538,0.523,1.9,2.4,0.771,4.6,8.3,12.9,3.4,1.1,3,2.2,5.1,14.5,1.00759
No,No,Jabari Parker,parkeja01,No,No,No,0.197573,0.00976649,No,No,NBA,MIL,PF,8.3,17,0.49,1.4,3.7,0.365,7,13.2,0.525,0.53,3.4,4.5,0.743,1.6,4.9,6.5,3,1,0.5,1.9,2.3,21.4,1.08678
No,No,Chris Paul,paulch01,No,No,No,-12.9771,-9.20726,No,No,NBA,LAC,PG,7,14.7,0.476,2.3,5.7,0.411,4.7,9.1,0.518,0.555,4.3,4.9,0.892,0.7,4.9,5.7,10.6,2.2,0.1,2.8,2.7,20.7,1.8258
No,No,Zach Randolph,randoza01,No,No,No,2.77808,10.5575,No,No,NBA,MEM,PF,8.7,19.4,0.449,0.4,1.9,0.223,8.3,17.5,0.474,0.46,2.8,3.9,0.731,3.7,8.4,12.1,2.5,0.8,0.2,2,2.7,20.7,1.53547
No,No,Isaiah Thomas,thomais02,No,No,No,-17.6133,-9.13511,No,No,NBA,BOS,PG,9.6,20.6,0.463,3.4,9.1,0.379,6.1,11.6,0.528,0.546,8.3,9.1,0.909,0.6,2.3,2.9,6.3,1,0.2,2.9,2.3,30.8,2.11613
No,No,Klay Thompson,thompkl01,No,No,No,-7.8081,-10.1909,No,No,NBA,GSW,SG,8.8,18.7,0.468,3.6,8.8,0.414,5.1,9.9,0.516,0.565,2.5,3,0.853,0.7,3.2,3.9,2.2,0.9,0.5,1.7,1.9,23.7,1.00759
No,No,Karl-Anthony Towns,townska01,No,No,No,4.91152,-7.15133,No,No,NBA,MIN,C,9.5,17.6,0.542,1.2,3.3,0.367,8.3,14.3,0.582,0.576,4.2,5.1,0.832,3.5,8.4,12,2.6,0.7,1.2,2.5,2.9,24.5,2.06334
No,No,Nikola Vučević,vucevni01,No,No,No,5.05089,8.35692,No,No,NBA,ORL,C,8,17.2,0.468,0.4,1.2,0.307,7.7,15.9,0.481,0.48,1.8,2.7,0.669,2.9,10,13,3.5,1.3,1.2,1.9,3,18.2,1.62784
No,No,Dwyane Wade,wadedw01,No,No,No,-7.57787,5.9099,No,No,NBA,CHI,SG,8.3,19.2,0.434,0.9,2.9,0.31,7.4,16.3,0.456,0.457,4.5,5.6,0.794,1.3,4.2,5.4,4.6,1.7,0.8,2.8,2.3,22,1.24514
No,No,Kemba Walker,walkeke02,No,No,No,-11.7448,-2.4133,No,No,NBA,CHO,PG,8.5,19,0.444,3.2,7.9,0.399,5.3,11.1,0.476,0.527,4,4.7,0.847,0.6,3.5,4,5.7,1.1,0.3,2.2,1.6,24.1,1.50907
No,No,John Wall,walljo01,No,No,No,-15.936,2.89563,No,No,NBA,WAS,PG,8.2,18.2,0.451,1.1,3.5,0.327,7.1,14.8,0.48,0.482,5.4,6.7,0.801,0.7,3.4,4.1,10.5,2,0.6,4.1,1.9,22.9,1.86539
No,No,Russell Westbrook,westbru01,No,No,No,-29.7856,-0.399098,No,No,NBA,OKC,PG,10.6,24.9,0.425,2.6,7.5,0.343,8,17.4,0.459,0.476,9.1,10.8,0.845,1.8,9.3,11.1,10.8,1.7,0.4,5.6,2.4,32.9,3.81852
No,No,Hassan Whiteside,whiteha01,No,No,No,13.976,-3.58576,No,No,NBA,MIA,C,7.8,13.9,0.557,0,0,,7.8,13.9,0.557,0.557,3.2,5.1,0.628,4.2,11.4,15.6,0.8,0.8,2.3,2.2,3.2,18.8,1.70703
No,No,Alan Williams,willial03,No,No,No,18.0938,3.72173,No,No,NBA,PHO,C,7,13.6,0.517,0,0.1,0,7,13.5,0.519,0.517,3.6,5.7,0.625,4.8,10.1,14.8,1.2,1.4,1.6,1.9,6.4,17.6,1.09997
No,No,Lou Williams,willilo02,No,No,No,-15.7623,-1.7423,No,No,NBA,2TM,SG,7.7,18,0.429,2.9,8.1,0.365,4.8,10,0.48,0.511,7.3,8.3,0.88,0.5,3.2,3.6,4.3,1.4,0.4,2.9,1.7,25.7,1.42989
No,No,Lou Williams,willilo02,No,No,No,-17.3336,-3.47528,No,No,NBA,LAL,SG,8.4,18.8,0.444,3.1,8.1,0.385,5.2,10.7,0.489,0.527,7.8,8.8,0.884,0.4,3,3.4,4.7,1.7,0.3,3.1,1.7,27.7,1.72022
