Selected,player,player_id,season,lg,age,team,pos,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
No Yes,string,string,continuous,ABA NBA,continuous,2TM 3TM 4TM 5TM ANA ATL BAL BLB BOS BRK BUF CAP CAR CHA CHH CHI CHO CHP CHZ CIN CLE DAL DEN DET DLC DNA DNR FLO FTW GSW HOU HSM INA IND INO KCK KCO KEN LAC LAL LAS MEM MIA MIL MIN MLH MMF MMP MMS MMT MNL MNM MNP NJA NJN NOB NOH NOJ NOK NOP NYA NYK NYN OAK OKC ORL PHI PHO PHW POR PTC PTP ROC SAA SAC SAS SDA SDC SDR SDS SEA SFW SSL STL SYR TEX TOR UTA UTS VAN VIR WAS WSA WSB,C PF PG SF SG,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Bryn Forbes,forbebr01,2017,NBA,23,SAS,SG,36,0,285,4.5,12.5,0.364,2.1,6.7,0.321,2.4,5.8,0.413,0.449,0.6,0.8,0.833,0.3,2.7,2.9,2.9,0.1,0.0,1.4,2.5,11.9
No,Evan Fournier,fournev01,2017,NBA,24,ORL,SG,68,66,2234,6.6,15.0,0.439,2.1,5.8,0.356,4.5,9.2,0.491,0.508,3.6,4.5,0.805,0.7,2.7,3.4,3.3,1.1,0.1,2.3,2.9,18.8
No,Randy Foye,foyera01,2017,NBA,33,BRK,SG,69,40,1284,3.3,9.1,0.363,1.9,5.7,0.330,1.4,3.4,0.418,0.466,1.5,1.8,0.857,0.3,4.1,4.3,3.8,1.0,0.3,2.2,2.8,10.0
No,Tim Frazier,fraziti01,2017,NBA,26,NOP,PG,65,35,1525,3.8,9.5,0.403,0.9,3.0,0.313,2.9,6.5,0.446,0.453,2.3,3.0,0.760,0.8,3.3,4.1,7.9,1.3,0.1,2.4,3.1,11.0
No,Channing Frye,fryech01,2017,NBA,33,CLE,C,74,15,1398,6.1,13.4,0.458,3.5,8.6,0.409,2.6,4.8,0.546,0.589,1.6,1.9,0.851,1.0,6.5,7.5,1.2,0.8,1.0,1.4,3.6,17.4
No,Danilo Gallinari,gallida01,2017,NBA,28,DEN,SF,63,63,2134,5.7,12.7,0.447,2.1,5.5,0.389,3.5,7.2,0.491,0.531,5.9,6.5,0.902,0.7,4.8,5.5,2.3,0.7,0.3,1.4,1.6,19.3
No,Langston Galloway,gallola01,2017,NBA,25,2TM,PG,74,2,1495,5.0,13.1,0.380,2.9,7.4,0.390,2.1,5.7,0.367,0.490,1.2,1.5,0.797,0.7,3.1,3.8,2.2,1.1,0.1,1.1,2.3,14.1
No,Langston Galloway,gallola01,2017,NBA,25,NOP,PG,55,0,1120,5.3,14.2,0.374,3.2,8.6,0.377,2.1,5.6,0.370,0.489,1.3,1.7,0.769,0.6,3.2,3.9,2.1,1.3,0.2,0.9,2.4,15.1
No,Langston Galloway,gallola01,2017,NBA,25,SAC,PG,19,2,375,4.0,10.0,0.404,1.8,3.8,0.475,2.2,6.1,0.359,0.495,1.1,1.2,0.917,0.7,2.7,3.4,2.7,0.6,0.1,1.7,1.9,10.9
No,Patricio Garino,garinpa01,2017,NBA,23,ORL,SG,5,0,43,0.0,5.9,0.000,0.0,4.2,0.000,0.0,1.7,0.000,0.000,0.0,0.0,,0.8,5.0,5.9,0.0,0.0,0.0,2.5,3.3,0.0
No,Marc Gasol,gasolma01,2017,NBA,32,MEM,C,74,74,2531,7.6,16.5,0.459,1.5,3.8,0.388,6.1,12.7,0.480,0.503,4.0,4.7,0.837,0.9,5.7,6.6,4.8,1.0,1.4,2.4,2.4,20.6
No,Pau Gasol,gasolpa01,2017,NBA,36,SAS,C,64,39,1627,6.7,13.4,0.502,1.2,2.3,0.538,5.5,11.1,0.494,0.548,2.9,4.1,0.707,2.4,8.7,11.1,3.3,0.5,1.5,1.8,2.4,17.5
No,Rudy Gay,gayru01,2017,NBA,30,SAC,SF,30,30,1013,7.1,15.7,0.455,1.5,4.0,0.372,5.7,11.7,0.483,0.502,4.2,4.9,0.855,1.2,5.5,6.8,2.9,1.6,0.9,2.6,2.8,20.0
No,Michael Gbinije,gbinimi01,2017,NBA,24,DET,SG,9,0,32,1.1,11.3,0.100,0.0,4.5,0.000,1.1,6.8,0.167,0.100,2.3,2.3,1.000,2.3,1.1,3.4,2.3,0.0,0.0,0.0,2.3,4.5
No,Alonzo Gee,geeal01,2017,NBA,29,DEN,SF,13,0,89,1.2,5.7,0.214,0.0,1.2,0.000,1.2,4.4,0.273,0.214,2.0,3.6,0.556,1.6,4.4,6.1,2.4,2.0,0.4,1.6,5.7,4.4
No,Marcus Georges-Hunt,georgma01,2017,NBA,22,ORL,SG,5,0,48,1.5,5.2,0.286,0.7,1.5,0.500,0.7,3.8,0.200,0.357,6.8,7.5,0.900,0.7,6.0,6.8,2.3,0.7,0.0,1.5,3.7,10.5
No,Paul George,georgpa01,2017,NBA,26,IND,SF,75,75,2689,8.3,18.0,0.461,2.6,6.6,0.393,5.7,11.4,0.501,0.534,4.5,5.0,0.898,0.8,5.8,6.6,3.4,1.6,0.4,2.9,2.8,23.8
No,Jonathan Gibson,gibsojo01,2017,NBA,29,DAL,PG,17,0,231,5.5,14.8,0.368,2.3,7.0,0.333,3.1,7.8,0.400,0.447,3.3,4.5,0.724,0.2,3.3,3.4,4.1,1.2,0.0,3.3,3.3,16.5
No,Taj Gibson,gibsota01,2017,NBA,31,2TM,PF,78,71,1989,6.6,12.8,0.515,0.1,0.2,0.231,6.6,12.6,0.520,0.517,2.0,2.9,0.715,2.9,5.9,8.8,1.3,0.7,1.2,1.9,3.0,15.3
No,Taj Gibson,gibsota01,2017,NBA,31,CHI,PF,55,55,1502,6.6,12.7,0.521,0.0,0.3,0.167,6.6,12.4,0.529,0.523,2.0,2.9,0.714,2.9,6.3,9.2,1.4,0.6,1.2,1.8,2.9,15.3
No,Taj Gibson,gibsota01,2017,NBA,31,OKC,PF,23,16,487,6.6,13.2,0.497,0.1,0.1,1.000,6.5,13.2,0.494,0.500,2.1,2.9,0.718,2.8,4.8,7.6,1.0,1.0,1.1,2.1,3.0,15.3
No,Manu Ginóbili,ginobma01,2017,NBA,39,SAS,SG,69,0,1291,4.8,12.2,0.390,2.5,6.3,0.392,2.3,5.9,0.387,0.491,2.4,3.0,0.804,0.8,3.6,4.4,5.1,2.3,0.4,2.7,3.3,14.4
No,Rudy Gobert,goberru01,2017,NBA,24,UTA,C,81,81,2744,5.4,8.2,0.661,0.0,0.0,0.000,5.4,8.2,0.662,0.661,4.1,6.2,0.653,4.1,9.5,13.6,1.3,0.6,2.8,1.9,3.2,14.9
No,Archie Goodwin,goodwar01,2017,NBA,22,2TM,SG,15,0,214,6.1,11.1,0.545,0.8,2.5,0.333,5.2,8.6,0.608,0.583,5.6,7.1,0.786,1.2,3.5,4.7,4.0,0.7,0.8,2.4,1.3,18.5
No,Archie Goodwin,goodwar01,2017,NBA,22,NOP,SG,3,0,30,2.4,6.0,0.400,1.2,2.4,0.500,1.2,3.6,0.333,0.500,12.0,12.0,1.000,0.0,0.0,0.0,1.2,0.0,1.2,0.0,1.2,18.0
No,Archie Goodwin,goodwar01,2017,NBA,22,BRK,SG,12,0,184,6.7,11.9,0.557,0.8,2.5,0.308,5.9,9.4,0.625,0.590,4.5,6.3,0.719,1.4,4.1,5.5,4.5,0.8,0.8,2.7,1.4,18.6
No,Aaron Gordon,gordoaa01,2017,NBA,21,ORL,SF,80,72,2298,6.2,13.6,0.454,1.2,4.2,0.288,5.0,9.4,0.528,0.499,2.4,3.4,0.719,1.8,4.5,6.3,2.3,1.0,0.6,1.4,2.7,16.0
No,Eric Gordon,gordoer01,2017,NBA,28,HOU,SG,75,15,2323,6.4,15.7,0.406,3.8,10.2,0.372,2.6,5.5,0.468,0.527,2.3,2.7,0.840,0.4,2.7,3.1,2.9,0.7,0.6,1.9,2.3,18.9
No,Marcin Gortat,gortama01,2017,NBA,32,WAS,C,82,82,2556,5.5,9.5,0.579,0.0,0.0,0.000,5.5,9.5,0.580,0.579,1.5,2.2,0.648,3.4,8.6,12.0,1.7,0.6,0.9,1.7,3.0,12.4
No,Treveon Graham,grahatr01,2017,NBA,23,CHO,SG,27,1,189,3.6,7.6,0.475,1.7,2.9,0.600,1.9,4.8,0.400,0.588,1.9,2.9,0.667,1.0,3.2,4.2,1.1,1.1,0.2,0.6,3.4,10.9
No,Jerami Grant,grantje01,2017,NBA,22,2TM,PF,80,4,1531,3.6,7.7,0.463,1.0,2.7,0.371,2.6,5.0,0.514,0.529,2.1,3.5,0.612,0.9,3.9,4.8,1.1,0.8,1.9,1.0,3.5,10.3
No,Jerami Grant,grantje01,2017,NBA,22,PHI,PF,2,0,41,5.3,14.9,0.353,0.0,1.8,0.000,5.3,13.2,0.400,0.353,3.5,7.0,0.500,0.0,5.3,5.3,0.0,0.0,3.5,2.6,4.4,14.0
No,Jerami Grant,grantje01,2017,NBA,22,OKC,PF,78,4,1490,3.5,7.5,0.469,1.0,2.8,0.377,2.5,4.8,0.523,0.539,2.1,3.4,0.619,0.9,3.9,4.8,1.1,0.8,1.8,1.0,3.5,10.2
No,Jerian Grant,grantje02,2017,NBA,24,CHI,PG,63,28,1028,4.5,10.5,0.425,1.7,4.7,0.366,2.8,5.8,0.473,0.507,2.3,2.6,0.890,0.6,3.3,3.9,4.2,1.6,0.3,1.5,3.3,13.0
No,Danny Green,greenda02,2017,NBA,29,SAS,SG,68,68,1807,3.5,8.9,0.392,2.4,6.2,0.379,1.2,2.7,0.420,0.523,0.5,0.6,0.844,0.6,3.8,4.5,2.5,1.4,1.1,1.5,2.4,9.9
No,Draymond Green,greendr01,2017,NBA,26,GSW,PF,76,76,2471,4.0,9.5,0.418,1.2,3.8,0.308,2.8,5.6,0.494,0.481,2.2,3.1,0.709,1.4,7.3,8.7,7.8,2.2,1.5,2.7,3.2,11.3
No,Gerald Green,greenge01,2017,NBA,31,BOS,SF,47,0,538,6.4,15.5,0.409,2.6,7.4,0.351,3.7,8.1,0.463,0.494,2.2,2.7,0.805,1.1,4.6,5.6,2.2,0.6,0.5,1.7,3.2,17.5
No,JaMychal Green,greenja01,2017,NBA,26,MEM,PF,77,75,2101,4.3,8.6,0.500,0.9,2.5,0.379,3.3,6.1,0.549,0.555,2.3,2.9,0.802,2.9,6.5,9.3,1.4,0.8,0.6,1.6,4.2,11.8
No,Jeff Green,greenje02,2017,NBA,30,ORL,PF,69,11,1534,5.2,13.1,0.394,1.2,4.5,0.275,3.9,8.6,0.458,0.442,3.4,3.9,0.863,0.9,4.1,5.0,1.9,0.9,0.3,1.8,2.4,15.0
No,Blake Griffin,griffbl01,2017,NBA,27,LAC,PF,61,61,2076,8.3,16.8,0.493,0.7,2.0,0.336,7.6,14.9,0.514,0.513,5.5,7.3,0.760,1.9,6.7,8.6,5.2,1.0,0.4,2.5,2.7,22.8
No,Justin Hamilton,hamilju01,2017,NBA,26,BRK,C,64,7,1177,5.3,11.6,0.459,1.7,5.5,0.306,3.6,6.1,0.598,0.532,1.2,1.6,0.750,2.2,5.8,8.0,1.7,0.9,1.3,1.3,2.8,13.5
No,A.J. Hammons,hammoaj01,2017,NBA,24,DAL,C,22,0,163,3.8,9.3,0.405,1.1,2.2,0.500,2.7,7.1,0.375,0.464,2.0,4.4,0.450,1.8,6.2,8.0,0.9,0.2,2.9,2.2,4.6,10.6
No,Tim Hardaway Jr.,hardati02,2017,NBA,24,ATL,SG,79,30,2154,6.9,15.2,0.455,2.5,7.0,0.357,4.4,8.3,0.537,0.537,2.7,3.6,0.766,0.6,3.2,3.7,3.0,0.9,0.3,1.8,1.7,19.1
No,James Harden,hardeja01,2017,NBA,27,HOU,PG,81,81,2947,8.2,18.7,0.440,3.2,9.2,0.347,5.0,9.5,0.530,0.525,9.1,10.8,0.847,1.2,6.9,8.1,11.1,1.5,0.5,5.7,2.6,28.8
No,Maurice Harkless,harklma01,2017,NBA,23,POR,SF,77,69,2223,5.1,10.1,0.503,1.1,3.1,0.351,4.0,7.0,0.572,0.558,1.2,2.0,0.621,2.0,3.5,5.5,1.4,1.4,1.1,1.4,3.5,12.5
No,Justin Harper,harpeju01,2017,NBA,27,PHI,PF,3,0,31,5.8,13.9,0.417,2.3,8.1,0.286,3.5,5.8,0.600,0.500,0.0,0.0,,2.3,3.5,5.8,2.3,0.0,0.0,4.6,2.3,13.9
No,Montrezl Harrell,harremo01,2017,NBA,23,HOU,C,58,14,1064,7.6,11.7,0.652,0.0,0.2,0.143,7.6,11.4,0.663,0.654,2.6,4.1,0.628,2.7,4.7,7.4,2.2,0.7,1.4,1.5,4.3,17.8
No,Aaron Harrison,harriaa01,2017,NBA,22,CHO,SG,5,0,17,0.0,8.5,0.000,0.0,4.2,0.000,0.0,4.2,0.000,0.000,2.1,4.2,0.500,0.0,6.4,6.4,6.4,0.0,0.0,0.0,4.2,2.1
No,Andrew Harrison,harrian01,2017,NBA,22,MEM,PG,72,18,1474,2.9,8.8,0.325,1.1,3.8,0.276,1.8,5.0,0.363,0.385,3.6,4.7,0.763,0.6,2.8,3.3,4.8,1.3,0.5,2.1,4.7,10.4
No,Devin Harris,harride01,2017,NBA,33,DAL,PG,65,0,1087,4.5,11.3,0.399,1.9,5.9,0.328,2.6,5.4,0.476,0.484,3.5,4.3,0.829,0.4,3.8,4.2,4.5,1.4,0.2,1.9,3.3,14.5
No,Gary Harris,harriga01,2017,NBA,22,DEN,SG,57,56,1782,6.5,12.9,0.502,2.2,5.2,0.420,4.3,7.7,0.558,0.586,2.1,2.7,0.776,1.0,2.6,3.6,3.3,1.4,0.2,1.5,1.9,17.2
No,Joe Harris,harrijo01,2017,NBA,25,BRK,SG,52,11,1138,4.9,11.5,0.425,2.7,7.0,0.385,2.2,4.5,0.489,0.543,1.1,1.6,0.714,0.5,4.1,4.7,1.7,0.9,0.3,1.7,3.8,13.5
No,Manny Harris,harrima01,2017,NBA,27,DAL,SG,4,0,25,4.3,21.6,0.200,0.0,2.9,0.000,4.3,18.7,0.231,0.200,2.9,5.8,0.500,4.3,8.6,13.0,2.9,0.0,0.0,2.9,1.4,11.5
No,Tobias Harris,harrito02,2017,NBA,24,DET,PF,82,48,2567,7.2,14.9,0.481,1.5,4.4,0.347,5.6,10.5,0.537,0.532,2.7,3.2,0.841,0.9,5.0,5.8,2.0,0.8,0.5,1.3,1.9,18.5
No,Udonis Haslem,hasleud01,2017,NBA,36,MIA,C,16,0,130,3.0,6.4,0.478,0.0,0.8,0.000,3.0,5.5,0.550,0.478,2.5,4.2,0.600,2.2,7.8,10.0,1.7,1.7,0.3,2.2,6.1,8.6
No,Spencer Hawes,hawessp01,2017,NBA,28,2TM,PF,54,1,797,6.1,12.5,0.484,1.1,3.7,0.309,4.9,8.9,0.556,0.529,2.0,2.3,0.846,1.7,6.9,8.6,3.7,0.7,1.4,2.2,3.5,15.2
No,Spencer Hawes,hawessp01,2017,NBA,28,CHO,PF,35,1,626,6.0,12.5,0.477,0.9,3.2,0.291,5.1,9.4,0.540,0.514,1.7,2.0,0.882,1.8,6.6,8.4,3.6,0.7,1.5,2.3,3.5,14.6
No,Spencer Hawes,hawessp01,2017,NBA,28,MIL,PF,19,0,171,6.3,12.4,0.508,1.9,5.5,0.346,4.4,6.9,0.636,0.585,2.9,3.8,0.778,1.3,8.2,9.5,4.0,0.4,0.8,1.9,3.4,17.5
No,Gordon Hayward,haywago01,2017,NBA,26,UTA,SF,73,73,2516,7.8,16.5,0.471,2.1,5.4,0.398,5.7,11.2,0.506,0.536,5.2,6.1,0.844,0.7,4.9,5.6,3.6,1.0,0.3,2.0,1.7,22.9
No,Gerald Henderson,hendege02,2017,NBA,29,PHI,SG,72,41,1667,5.1,11.9,0.423,1.3,3.7,0.353,3.7,8.2,0.455,0.478,2.9,3.6,0.806,0.7,3.3,4.0,2.4,0.9,0.3,1.3,2.8,14.3
No,John Henson,hensojo01,2017,NBA,26,MIL,C,58,39,1123,5.1,9.9,0.515,0.0,0.0,0.000,5.1,9.9,0.516,0.515,2.4,3.4,0.692,2.9,6.5,9.5,1.8,0.9,2.5,1.7,4.8,12.6
No,Juancho Hernangómez,hernaju01,2017,NBA,21,DEN,PF,62,9,842,4.3,9.6,0.451,2.0,4.8,0.407,2.4,4.7,0.495,0.554,2.4,3.2,0.750,1.8,6.2,8.0,1.2,1.3,0.5,1.3,2.7,13.0
No,Willy Hernangómez,hernawi01,2017,NBA,22,NYK,C,72,22,1324,6.7,12.6,0.529,0.1,0.4,0.267,6.6,12.2,0.538,0.533,2.5,3.4,0.728,4.6,9.0,13.6,2.6,1.1,1.0,2.7,4.1,16.0
No,Mario Hezonja,hezonma01,2017,NBA,21,ORL,SF,65,2,960,4.4,12.4,0.355,1.6,5.4,0.299,2.8,7.0,0.398,0.420,1.5,1.9,0.800,0.7,4.7,5.5,2.3,1.1,0.6,2.2,2.8,11.9
No,Roy Hibbert,hibbero01,2017,NBA,30,2TM,C,48,13,682,4.2,7.8,0.544,0.0,0.0,,4.2,7.8,0.544,0.544,3.2,4.0,0.813,2.9,5.2,8.0,1.1,0.4,2.4,1.7,5.3,11.7
No,Roy Hibbert,hibbero01,2017,NBA,30,CHO,C,42,13,671,4.2,7.7,0.542,0.0,0.0,,4.2,7.7,0.542,0.542,3.3,4.0,0.813,2.8,5.2,8.0,1.1,0.4,2.4,1.7,5.2,11.6
No,Roy Hibbert,hibbero01,2017,NBA,30,DEN,C,6,0,11,6.5,9.8,0.667,0.0,0.0,,6.5,9.8,0.667,0.667,0.0,0.0,,3.3,3.3,6.5,3.3,0.0,6.5,3.3,9.8,13.1
No,Buddy Hield,hieldbu01,2017,NBA,24,2TM,SG,82,55,1888,6.2,14.6,0.426,2.8,7.2,0.391,3.4,7.4,0.461,0.523,1.2,1.4,0.842,0.7,4.5,5.1,2.3,0.7,0.2,1.9,2.2,16.5
No,Buddy Hield,hieldbu01,2017,NBA,24,NOP,SG,57,37,1161,5.7,14.6,0.393,2.8,7.5,0.369,3.0,7.1,0.417,0.487,0.9,1.0,0.879,0.6,4.6,5.1,2.4,0.6,0.2,1.5,2.5,15.1
No,Buddy Hield,hieldbu01,2017,NBA,24,SAC,SG,25,18,727,7.0,14.7,0.480,2.9,6.8,0.428,4.1,7.8,0.525,0.579,1.7,2.1,0.814,0.8,4.3,5.1,2.2,1.0,0.1,2.6,1.7,18.7
No,Nenê,hilarne01,2017,NBA,34,HOU,C,67,8,1198,7.4,11.9,0.617,0.1,0.3,0.333,7.3,11.7,0.624,0.621,3.5,5.9,0.589,2.9,5.6,8.5,2.0,1.7,1.2,2.2,4.9,18.3
No,George Hill,hillge01,2017,NBA,30,UTA,PG,49,49,1544,6.7,14.1,0.477,2.2,5.4,0.403,4.5,8.7,0.523,0.554,3.7,4.6,0.801,0.5,3.4,3.9,4.8,1.2,0.3,2.0,2.7,19.3
No,Darrun Hilliard,hillida01,2017,NBA,23,DET,SG,39,1,381,4.4,11.9,0.373,1.1,4.3,0.261,3.3,7.6,0.438,0.421,2.0,2.6,0.750,0.2,2.9,3.1,3.1,1.0,0.2,2.6,3.7,12.0
No,Jordan Hill,hilljo01,2017,NBA,29,MIN,C,7,0,47,3.8,10.0,0.385,0.0,0.0,,3.8,10.0,0.385,0.385,1.5,1.5,1.000,6.1,4.6,10.7,0.0,0.8,0.0,3.1,6.9,9.2
No,Solomon Hill,hillso01,2017,NBA,25,NOP,SF,80,71,2374,2.8,7.2,0.383,1.4,4.1,0.348,1.3,3.2,0.428,0.481,1.6,1.9,0.805,0.8,3.9,4.7,2.1,1.1,0.5,1.2,2.8,8.5
No,Jrue Holiday,holidjr01,2017,NBA,26,NOP,PG,67,61,2190,6.7,14.7,0.454,1.6,4.6,0.356,5.0,10.1,0.498,0.510,2.0,2.8,0.708,0.8,3.6,4.3,8.0,1.6,0.7,3.2,2.2,16.9
No,Justin Holiday,holidju01,2017,NBA,27,NYK,SG,82,4,1639,5.1,11.8,0.433,2.1,6.0,0.355,3.0,5.8,0.513,0.523,1.4,1.8,0.825,0.6,4.3,4.9,2.2,1.4,0.7,1.4,2.4,13.8
No,Rondae Hollis-Jefferson,holliro01,2017,NBA,22,BRK,SF,78,50,1761,4.8,11.1,0.434,0.3,1.4,0.224,4.5,9.7,0.463,0.447,3.9,5.2,0.751,2.0,7.3,9.2,3.1,1.7,0.9,2.4,3.6,13.8
No,Richaun Holmes,holmeri01,2017,NBA,23,PHI,C,57,17,1193,6.9,12.4,0.558,0.8,2.3,0.351,6.1,10.1,0.606,0.591,2.2,3.1,0.699,2.8,6.5,9.4,1.8,1.3,1.7,1.7,4.1,16.9
No,Rodney Hood,hoodro01,2017,NBA,24,UTA,SG,59,55,1593,6.1,15.1,0.408,2.6,6.9,0.371,3.6,8.1,0.440,0.494,2.0,2.6,0.783,0.4,4.2,4.6,2.2,0.9,0.2,1.5,3.0,16.9
No,Al Horford,horfoal01,2017,NBA,30,BOS,C,68,68,2193,6.2,13.1,0.473,1.4,4.0,0.355,4.8,9.2,0.524,0.527,1.8,2.2,0.800,1.6,6.1,7.6,5.5,0.9,1.4,1.9,2.3,15.6
No,Danuel House Jr.,houseda01,2017,NBA,23,WAS,SG,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
No,Dwight Howard,howardw01,2017,NBA,31,ATL,C,74,74,2199,6.4,10.0,0.633,0.0,0.0,0.000,6.4,10.0,0.635,0.633,3.7,6.9,0.533,4.8,10.5,15.4,1.7,1.0,1.5,2.8,3.3,16.4
No,Marcelo Huertas,huertma01,2017,NBA,33,LAL,PG,23,1,237,3.8,10.3,0.368,0.6,2.9,0.211,3.2,7.4,0.429,0.397,1.4,2.6,0.529,0.3,3.3,3.6,7.9,1.5,0.3,2.9,2.4,9.6
No,Josh Huestis,huestjo01,2017,NBA,25,OKC,PF,2,0,31,7.0,12.8,0.545,2.3,4.6,0.500,4.6,8.1,0.571,0.636,0.0,1.2,0.000,4.6,5.8,10.5,3.5,0.0,3.5,0.0,0.0,16.3
No,Kris Humphries,humphkr01,2017,NBA,31,ATL,PF,56,4,689,4.5,11.2,0.407,1.0,2.8,0.352,3.6,8.4,0.425,0.451,3.3,4.3,0.780,3.1,7.6,10.8,1.5,0.8,1.1,1.5,3.6,13.4
No,R.J. Hunter,hunterj01,2017,NBA,23,CHI,SG,3,0,9,0.0,4.0,0.000,0.0,4.0,0.000,0.0,0.0,,0.000,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
No,Serge Ibaka,ibakase01,2017,NBA,27,2TM,PF,79,79,2422,7.0,14.6,0.480,1.8,4.7,0.391,5.2,9.9,0.522,0.543,1.6,1.9,0.856,1.9,6.1,8.0,1.1,0.6,1.8,1.6,3.2,17.4
No,Serge Ibaka,ibakase01,2017,NBA,27,ORL,PF,56,56,1710,7.2,14.8,0.488,1.7,4.5,0.388,5.5,10.3,0.532,0.547,1.6,1.9,0.846,2.1,5.9,8.0,1.3,0.7,1.9,1.4,2.9,17.8
No,Serge Ibaka,ibakase01,2017,NBA,27,TOR,PF,23,23,712,6.5,14.1,0.459,2.1,5.2,0.398,4.4,8.9,0.494,0.532,1.5,1.7,0.882,1.5,6.4,7.9,0.8,0.4,1.7,2.0,3.8,16.5
No,Andre Iguodala,iguodan01,2017,NBA,33,GSW,SF,76,0,1998,3.9,7.5,0.528,1.2,3.2,0.362,2.8,4.3,0.651,0.605,1.3,1.8,0.706,0.9,4.6,5.5,4.7,1.4,0.7,1.0,1.7,10.3
No,Ersan İlyasova,ilyaser01,2017,NBA,29,3TM,PF,82,52,2142,6.5,15.0,0.431,2.4,6.8,0.353,4.1,8.2,0.496,0.511,2.7,3.5,0.778,1.9,6.2,8.1,2.4,1.0,0.4,1.9,3.5,18.0
No,Ersan İlyasova,ilyaser01,2017,NBA,29,OKC,PF,3,0,62,3.5,9.3,0.375,1.7,7.0,0.250,1.7,2.3,0.750,0.469,0.0,0.0,,1.2,8.1,9.3,0.6,1.7,0.6,2.3,2.9,8.7
No,Ersan İlyasova,ilyaser01,2017,NBA,29,PHI,PF,53,40,1447,7.1,16.1,0.440,2.7,7.4,0.359,4.4,8.7,0.509,0.522,2.7,3.5,0.768,1.8,6.0,7.8,2.4,0.8,0.3,1.9,3.3,19.6
No,Ersan İlyasova,ilyaser01,2017,NBA,29,ATL,PF,26,12,633,5.3,12.9,0.412,1.8,5.2,0.348,3.5,7.6,0.455,0.482,3.0,3.7,0.800,2.4,6.2,8.6,2.4,1.3,0.5,1.9,4.2,15.4
No,Joe Ingles,inglejo01,2017,NBA,29,UTA,SF,82,26,1972,3.7,8.2,0.452,2.2,5.1,0.441,1.5,3.1,0.471,0.589,0.9,1.2,0.735,0.4,4.3,4.8,4.1,1.8,0.1,2.0,3.0,10.6
No,Brandon Ingram,ingrabr01,2017,NBA,19,LAL,SF,79,40,2279,4.4,10.8,0.402,0.9,3.0,0.294,3.5,7.9,0.443,0.442,2.1,3.4,0.621,0.9,4.0,5.0,2.6,0.8,0.6,1.8,2.5,11.7
No,Kyrie Irving,irvinky01,2017,NBA,24,CLE,PG,72,72,2525,9.6,20.2,0.473,2.5,6.3,0.401,7.0,14.0,0.505,0.535,4.2,4.7,0.905,0.7,2.5,3.3,6.0,1.2,0.3,2.6,2.2,25.9
No,Jarrett Jack,jackja01,2017,NBA,33,NOP,PG,2,0,33,2.2,3.3,0.667,0.0,1.1,0.000,2.2,2.2,1.000,0.667,2.2,2.2,1.000,0.0,0.0,0.0,5.5,2.2,0.0,3.3,4.4,6.5
No,Demetrius Jackson,jacksde01,2017,NBA,22,BOS,PG,5,0,17,6.4,8.5,0.750,2.1,2.1,1.000,4.2,6.4,0.667,0.875,6.4,12.7,0.500,4.2,4.2,8.5,6.4,0.0,0.0,0.0,0.0,21.2
No,Pierre Jackson,jackspi01,2017,NBA,25,DAL,PG,8,1,84,5.6,16.7,0.333,1.3,4.7,0.273,4.3,12.0,0.357,0.372,2.6,3.0,0.857,0.4,3.4,3.9,8.1,0.9,0.0,1.3,2.1,15.0
No,Reggie Jackson,jacksre01,2017,NBA,26,DET,PG,52,50,1424,7.2,17.1,0.419,1.7,4.7,0.359,5.5,12.5,0.442,0.468,3.0,3.4,0.868,0.5,2.4,2.9,6.8,0.9,0.1,2.9,3.3,19.0
No,LeBron James,jamesle01,2017,NBA,32,CLE,SF,74,74,2794,9.5,17.3,0.548,1.6,4.4,0.363,7.9,12.9,0.611,0.594,4.6,6.8,0.674,1.2,7.0,8.2,8.3,1.2,0.6,3.9,1.7,25.2
No,Al Jefferson,jeffeal01,2017,NBA,32,IND,C,66,1,931,9.1,18.2,0.499,0.0,0.0,0.000,9.1,18.2,0.500,0.499,2.5,3.3,0.765,2.9,7.8,10.7,2.2,0.7,0.6,1.3,4.8,20.7
No,Richard Jefferson,jefferi01,2017,NBA,36,CLE,SF,79,13,1614,3.4,7.7,0.446,1.4,4.1,0.333,2.0,3.5,0.580,0.536,1.8,2.4,0.741,0.6,3.9,4.5,1.7,0.6,0.2,1.2,3.4,10.0
