Selected,player,player_id,season,lg,age,team,pos,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
No Yes,string,string,continuous,ABA NBA,continuous,2TM 3TM 4TM 5TM ANA ATL BAL BLB BOS BRK BUF CAP CAR CHA CHH CHI CHO CHP CHZ CIN CLE DAL DEN DET DLC DNA DNR FLO FTW GSW HOU HSM INA IND INO KCK KCO KEN LAC LAL LAS MEM MIA MIL MIN MLH MMF MMP MMS MMT MNL MNM MNP NJA NJN NOB NOH NOJ NOK NOP NYA NYK NYN OAK OKC ORL PHI PHO PHW POR PTC PTP ROC SAA SAC SAS SDA SDC SDR SDS SEA SFW SSL STL SYR TEX TOR UTA UTS VAN VIR WAS WSA WSB,C PF PG SF SG,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,DeMarcus Cousins,couside01,2017,NBA,26,SAC,C,55,55,1891,9.6,21.3,0.452,1.8,5.1,0.356,7.8,16.2,0.482,0.494,8.1,10.5,0.770,2.2,8.9,11.1,5.1,1.4,1.4,3.9,3.9,29.1
No,DeMarcus Cousins,couside01,2017,NBA,26,NOP,C,17,17,574,8.9,19.7,0.452,2.3,6.0,0.375,6.6,13.7,0.486,0.510,5.9,7.6,0.777,2.3,10.9,13.2,4.1,1.6,1.2,3.9,4.7,26.0
No,Robert Covington,covinro01,2017,NBA,26,PHI,SF,67,67,2119,5.0,12.4,0.399,2.3,7.0,0.333,2.6,5.4,0.484,0.492,2.4,3.0,0.822,1.6,5.8,7.4,1.7,2.2,1.2,2.2,3.4,14.7
No,Allen Crabbe,crabbal01,2017,NBA,24,POR,SG,79,7,2254,4.8,10.3,0.468,2.1,4.8,0.444,2.7,5.5,0.490,0.572,1.7,2.0,0.847,0.3,3.3,3.6,1.5,0.9,0.3,1.0,2.7,13.5
No,Jamal Crawford,crawfja01,2017,NBA,36,LAC,SG,82,1,2157,6.0,14.5,0.413,1.9,5.4,0.360,4.1,9.1,0.443,0.479,2.9,3.4,0.857,0.3,1.9,2.2,3.6,1.0,0.2,2.2,1.9,16.8
No,Jordan Crawford,crawfjo02,2017,NBA,28,NOP,SG,19,0,442,8.6,17.8,0.482,3.0,7.7,0.389,5.5,10.0,0.553,0.567,1.6,2.1,0.769,0.3,2.4,2.8,4.6,0.9,0.2,2.0,2.4,21.7
No,Jae Crowder,crowdja01,2017,NBA,26,BOS,SF,72,72,2335,5.1,11.1,0.463,2.4,6.1,0.398,2.7,5.0,0.540,0.572,2.7,3.3,0.811,0.7,5.7,6.4,2.4,1.1,0.4,1.2,2.5,15.4
No,Dante Cunningham,cunnida01,2017,NBA,29,NOP,PF,66,35,1649,3.8,7.8,0.485,1.6,4.0,0.392,2.2,3.9,0.579,0.584,0.3,0.6,0.593,1.2,4.8,6.0,0.8,0.9,0.6,0.6,2.2,9.5
No,Seth Curry,curryse01,2017,NBA,26,DAL,PG,70,42,2029,6.0,12.5,0.481,2.4,5.7,0.425,3.6,6.8,0.528,0.578,1.5,1.8,0.850,0.4,2.7,3.2,3.4,1.4,0.1,1.6,2.2,15.9
No,Stephen Curry,curryst01,2017,NBA,28,GSW,PG,79,79,2638,9.2,19.7,0.468,4.4,10.8,0.411,4.8,8.9,0.537,0.580,4.4,4.9,0.898,0.8,4.0,4.8,7.2,1.9,0.2,3.3,2.5,27.3
