Selected (4),Selected,player,player_id,Selected (1),Selected (2),Selected (3),Outlier,Selected (5),Selected (6),lg,team,pos,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min,impact_z,LOF_score
No,No,DeMarcus Cousins,couside01,No,No,No,No,No,No,NBA,2TM,C,9.4,20.9,0.452,1.9,5.3,0.361,7.5,15.6,0.483,0.498,7.6,9.8,0.772,2.2,9.4,11.6,4.8,1.5,1.4,3.9,4.1,28.4,2.60441,0.131034
No,No,DeMarcus Cousins,couside01,No,No,No,No,No,No,NBA,SAC,C,9.6,21.3,0.452,1.8,5.1,0.356,7.8,16.2,0.482,0.494,8.1,10.5,0.77,2.2,8.9,11.1,5.1,1.4,1.4,3.9,3.9,29.1,2.68359,0.0473886
No,No,DeMarcus Cousins,couside01,No,No,No,No,No,No,NBA,NOP,C,8.9,19.7,0.452,2.3,6,0.375,6.6,13.7,0.486,0.51,5.9,7.6,0.777,2.3,10.9,13.2,4.1,1.6,1.2,3.9,4.7,26,2.31408,0.0189324
No,No,Stephen Curry,curryst01,No,No,No,No,No,No,NBA,GSW,PG,9.2,19.7,0.468,4.4,10.8,0.411,4.8,8.9,0.537,0.58,4.4,4.9,0.898,0.8,4,4.8,7.2,1.9,0.2,3.3,2.5,27.3,2.06334,0.0203256
No,No,Anthony Davis,davisan02,No,No,No,No,No,No,NBA,NOP,C,10.2,20.3,0.505,0.5,1.8,0.299,9.7,18.5,0.524,0.518,6.9,8.6,0.802,2.3,9.5,11.8,2.1,1.2,2.2,2.4,2.2,27.9,2.72318,0.05938
No,No,DeMar DeRozan,derozde01,No,No,No,No,No,No,NBA,TOR,SG,9.9,21.2,0.467,0.5,1.7,0.266,9.5,19.5,0.484,0.477,7.5,8.9,0.842,1,4.3,5.3,4,1.1,0.2,2.5,1.8,27.8,1.86539,0.0590183
No,No,Andre Drummond,drumman01,No,No,No,No,No,No,NBA,DET,C,7.2,13.6,0.53,0,0.1,0.286,7.2,13.5,0.532,0.531,2,5.3,0.386,5.2,11.5,16.7,1.3,1.9,1.3,2.3,3.5,16.5,1.57506,0.0418766
No,No,Kevin Durant,duranke01,No,No,No,No,No,No,NBA,GSW,PF,9.6,17.8,0.537,2,5.4,0.375,7.5,12.4,0.608,0.594,5.8,6.7,0.875,0.7,8.2,8.9,5.2,1.1,1.7,2.4,2,27,2.57802,0.0185502
No,No,Joel Embiid,embiijo01,No,No,No,No,No,No,NBA,PHI,C,9.2,19.6,0.466,1.6,4.5,0.367,7.5,15.2,0.495,0.508,8.7,11.2,0.783,2.8,8.3,11.1,3,1.2,3.5,5.4,5.1,28.7,2.2481,0.0308914
No,No,Tyreke Evans,evansty01,No,No,No,No,No,No,NBA,NOP,SF,6.9,17.2,0.401,1.6,5.3,0.3,5.3,11.9,0.446,0.447,3.4,4.4,0.776,0.5,6.1,6.5,6.9,1.7,0.3,3,3.1,18.8,1.07358,0.019906
